g1_t,g2_t,Run,Dimension,Similaity_ratio,Happy_proportion,Coherence,g1_similarity,g2_similarity
0.5,0.1,94,1,0.51655936,1,35,0.51396906,0.51914966
0.9,0.1,94,2,0.9052559,1,92,0.90316886,0.907343
0.5,0.1,95,1,0.51683164,1,36,0.5142695,0.5193938
0.9,0.1,95,2,0.90525544,1,87,0.9031564,0.90735453
0.5,0.1,96,1,0.5158575,1,33,0.5147762,0.51693887
0.9,0.1,96,2,0.9059765,1,91,0.90334064,0.90861225
0.5,0.1,97,1,0.51425576,1,39,0.51392925,0.51458234
0.9,0.1,97,2,0.90525794,1,88,0.90315706,0.9073589
0.5,0.1,98,1,0.5151886,1,30,0.5140535,0.51632357
0.9,0.1,98,2,0.90498424,1,97,0.90325475,0.9067138
0.5,0.1,99,1,0.51539236,1,34,0.5139368,0.5168479
0.9,0.1,99,2,0.9058646,1,89,0.90341043,0.90831876
0.5,0.1,100,1,0.5167512,1,37,0.515449,0.51805353
0.9,0.1,100,2,0.90527856,1,90,0.9029715,0.9075856
0.5,0.15,1,1,0.5139992,1,32,0.5123338,0.51566464
0.9,0.15,1,2,0.9050824,1,88,0.9032423,0.90692246
0.5,0.15,2,1,0.516611,1,31,0.5143271,0.51889485
0.9,0.15,2,2,0.9052323,1,92,0.9030615,0.9074032
